OSEBuildingID,DataYear,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,SiteEUI(kBtu/sf),SiteEnergyUse(kBtu),SteamUse(kBtu),NaturalGas(kBtu),GHGEmissionsIntensity,TotalGHGEmissions,GHGEmissionsIntensity,BuildingType,PrimaryPropertyType,CouncilDistrictCode,Neighborhood,Latitude,Longitude
70.0,2015.0,1998.0,1.0,6.0,155602.0,36744.0,44.4,6915293.0,0.0,2349046.0,0.88,156.59,0.88,NonResidential,Hotel,7,MAGNOLIA / QUEEN ANNE,47.62050588,-122.3596901
73.0,2015.0,1911.0,1.0,3.0,56072.0,0.0,55.4,3106930.0,0.0,2556597.0,2.45,139.62,2.45,NonResidential,K-12 School,3,EAST,47.63445532,-122.3080163
77.0,2015.0,1999.0,1.0,4.0,122942.0,44891.0,67.6,5276777.0,0.0,2876216.0,1.29,169.49,1.29,NonResidential,Hotel,7,MAGNOLIA / QUEEN ANNE,47.62498256,-122.3445605
82.0,2015.0,1962.0,1.0,2.0,54984.0,0.0,63.7,3504957.0,0.0,1323754.0,1.38,85.51,1.38,NonResidential,Small- and Mid-Sized Office,3,CENTRAL,47.60841187,-122.3095441
84.0,2015.0,1922.0,1.0,5.0,217603.0,0.0,153.5,45494324.0,0.0,33414103.0,8.3,1858.84,8.3,NonResidential,Senior Care Community,1,SOUTHWEST,47.55837362,-122.378518
85.0,2015.0,1970.0,1.0,2.0,93397.0,0.0,175.3,16371764.0,0.0,10574028.0,6.18,602.0,6.18,NonResidential,Senior Care Community,5,NORTHWEST,47.72389349,-122.3562998
86.0,2015.0,2008.0,1.0,6.0,84103.0,20732.0,62.8,3979132.0,0.0,1003439.0,0.73,74.04,0.73,NonResidential,Hotel,7,LAKE UNION,47.61990903,-122.3320457
89.0,2015.0,1965.0,1.0,3.0,179014.0,0.0,105.4,18868768.0,0.0,9368159.0,2.92,563.78,2.92,NonResidential,Medical Office,3,EAST,47.61249662,-122.3213373
95.0,2015.0,1908.0,1.0,7.0,76631.0,0.0,94.4,7231928.0,0.0,4447953.0,3.18,255.64,3.18,NonResidential,Hotel,3,EAST,47.60895788,-122.3268374
96.0,2015.0,1983.0,1.0,6.0,187600.0,18493.0,201.5,15240688.0,4816083.0,0.0,2.13,444.42,2.13,NonResidential,Mixed Use Property,3,EAST,47.60831445,-122.3266192
98.0,2015.0,1929.0,1.0,2.0,58320.0,0.0,14.9,1074180.0,0.0,697867.0,0.65,39.69,0.65,NonResidential,Retail Store,7,LAKE UNION,47.622375,-122.33805
100.0,2015.0,2010.0,1.0,5.0,316306.0,0.0,46.3,13300859.0,0.0,830194.0,0.24,131.03,0.24,NonResidential,Large Office,7,LAKE UNION,47.62428336,-122.33589247
102.0,2015.0,1990.0,1.0,7.0,282863.0,44766.0,79.9,18829136.0,0.0,8190794.0,1.64,509.18,1.64,NonResidential,Hotel,3,LAKE UNION,47.6263594,-122.333131
103.0,2015.0,1962.0,1.0,1.0,129000.0,0.0,79.7,29337400.0,8560000.0,0.0,5.42,760.51,5.42,Nonresidential COS,Other,7,MAGNOLIA / QUEEN ANNE,47.62124083,-122.3534322
104.0,2015.0,1962.0,1.0,1.0,91213.0,0.0,78.0,5069854.0,1270000.0,0.0,1.18,123.28,1.18,Nonresidential COS,Other,7,MAGNOLIA / QUEEN ANNE,47.62124083,-122.3534322
106.0,2015.0,1938.0,1.0,5.0,396085.0,0.0,97.6,27185096.0,10951000.0,0.0,2.19,900.81,2.19,Nonresidential COS,Other,7,MAGNOLIA / QUEEN ANNE,47.62189039,-122.3502752
107.0,2015.0,2010.0,1.0,12.0,571329.0,0.0,66.8,41734776.0,0.0,7499452.0,0.86,636.96,0.86,NonResidential,Large Office,7,LAKE UNION,47.62099765,-122.33592466
